CODE,OdName,1980,2008
ABW,Aruba,60096,101353
AFG,Afghanistan,13248370,27294031
AGO,Angola,8929900,21759420
ALB,Albania,2671997,2947314
AND,Andorra,36067,83861
ARB,Arab World,165689490,339825483
ARE,United Arab Emirates,1042384,6894278
ARG,Argentina,28105888,40382389
ARM,Armenia,3099751,2908220
ASM,American Samoa,32457,57030
ATG,Antigua and Barbuda,73442,92478
AUS,Australia,14692000,21249200
AUT,Austria,7549433,8321496
AZE,Azerbaijan,6150738,8763400
BDI,Burundi,4116817,8212264
BEL,Belgium,9859242,10709973
BEN,Benin,3717165,8696916
BFA,Burkina Faso,6822843,14689726
BGD,Bangladesh,81470860,148805814
BGR,Bulgaria,8861535,7492561
BHR,Bahrain,359888,1114590
BHS,"Bahamas, The",210661,348676
BIH,Bosnia and Herzegovina,4179855,3763599
BLR,Belarus,9643000,9527985
BLZ,Belize,144155,306165
BMU,Bermuda,54670,65273
BOL,Bolivia,5589575,9599855
BRA,Brazil,121159761,192979029
BRB,Barbados,252194,277319
BRN,Brunei Darussalam,193949,379252
BTN,Bhutan,409172,700950
BWA,Botswana,1001158,1946351
CAF,Central African Republic,2279821,4345386
CAN,Canada,24593000,33245773
CEB,Central Europe and the Baltics,106564905,105126686
CHE,Switzerland,6319408,7647675
CHI,Channel Islands,128212,157581
CHL,Chile,11266226,16661942
CHN,China,981235000,1324655000
CIV,Cote d'Ivoire,8293675,19497986
CMR,Cameroon,8618354,18907008
COD,"Congo, Dem. Rep.",26357462,60373608
COG,"Congo, Rep.",1839935,4115435
COL,Colombia,27737900,44901544
COM,Comoros,307829,657229
CPV,Cabo Verde,286657,491723
CRI,Costa Rica,2389310,4429508
CSS,Caribbean small states,5497756,6895315
CUB,Cuba,9835177,11309754
CUW,Curacao,148041,145880
CYM,Cayman Islands,16162,52926
CYP,Cyprus,685406,1081563
CZE,Czech Republic,10304193,10384603
DEU,Germany,78288576,82110097
DJI,Djibouti,358960,822934
DMA,Dominica,75314,71074
DNK,Denmark,5123027,5493621
DOM,Dominican Republic,5809269,9636520
DZA,Algeria,19337715,34860715
EAP,East Asia & Pacific (excluding high income),1359492990,1938363936
EAR,Early-demographic dividend,1592673530,2821797496
EAS,East Asia & Pacific,1558178982,2177421759
ECA,Europe & Central Asia (excluding high income),349906056,395304586
ECS,Europe & Central Asia,793937090,881965815
ECU,Ecuador,7976445,14447562
EGY,"Egypt, Arab Rep.",44099142,80953881
EMU,Euro area,302363486,334274730
ERI,Eritrea,2385540,4232636
ESP,Spain,37491165,45954106
EST,Estonia,1477219,1337090
ETH,Ethiopia,35264898,83184892
EUU,European Union,464392913,501808477
FCS,Fragile and conflict affected situations,202791782,412832401
FIN,Finland,4779535,5313399
FJI,Fiji,635255,843340
FRA,France,55340782,64374989
FRO,Faroe Islands,43514,48485
FSM,"Micronesia, Fed. Sts.",72964,104478
GAB,Gabon,729159,1536411
GBR,United Kingdom,56314216,61806995
GEO,Georgia,4467700,4030000
GHA,Ghana,10802028,23298640
GIB,Gibraltar,30272,32732
GIN,Guinea,4511902,10323142
GMB,"Gambia, The",604369,1588572
GNB,Guinea-Bissau,800854,1480841
GNQ,Equatorial Guinea,255325,868418
GRC,Greece,9642505,11077841
GRD,Grenada,89005,103930
GRL,Greenland,50200,56328
GTM,Guatemala,7283459,14006366
GUM,Guam,104133,159035
GUY,Guyana,780153,746314
HIC,High income,962228266,1181962982
HKG,"Hong Kong SAR, China",5063100,6957800
HND,Honduras,3678286,7872658
HPC,Heavily indebted poor countries (HIPC),271603169,595849807
HRV,Croatia,4588000,4434508
HTI,Haiti,5688836,9705029
HUN,Hungary,10711122,10038188
IBD,IBRD only,2895417606,4341646260
IBT,IDA & IBRD total,3535475763,5653072135
IDA,IDA total,640058157,1311425875
IDB,IDA blend,211007189,432032769
IDN,Indonesia,147490365,236159276
IDX,IDA only,429050968,879393106
IMN,Isle of Man,63551,78534
IND,India,696783517,1197146906
INX,Not classified,,
IRL,Ireland,3412800,4489544
IRN,"Iran, Islamic Rep.",38668220,72845542
IRQ,Iraq,13653356,29111417
ISL,Iceland,228138,317414
ISR,Israel,3878000,7308800
ITA,Italy,56433883,58826731
JAM,Jamaica,2163045,2790122
JOR,Jordan,2374422,6489822
JPN,Japan,116782000,128063000
KAZ,Kazakhstan,14518924,15674000
KEN,Kenya,16268990,39148416
KGZ,Kyrgyz Republic,3617400,5318700
KHM,Cambodia,6692107,13880509
KIR,Kiribati,59339,98440
KNA,St. Kitts and Nevis,43210,50332
KOR,"Korea, Rep.",38123775,49054708
KWT,Kuwait,1372318,2652340
LAC,Latin America & Caribbean (excluding high income),314056110,511896377
LAO,Lao PDR,3258144,6052190
LBN,Lebanon,2605293,4111047
LBR,Liberia,1888314,3662993
LBY,Libya,3219466,6053078
LCA,St. Lucia,117987,169220
LCN,Latin America & Caribbean,363543431,582179826
LDC,Least developed countries: UN classification,393279303,809730997
LIC,Low income,271925904,580229110
LIE,Liechtenstein,25866,35541
LKA,Sri Lanka,15035856,19945832
LMC,Lower middle income,1489702291,2599821177
LMY,Low & middle income,3477109502,5584333697
LSO,Lesotho,1310118,1999930
LTE,Late-demographic dividend,1597224701,2156164379
LTU,Lithuania,3413202,3198231
LUX,Luxembourg,364150,488650
LVA,Latvia,2511701,2177322
MAC,"Macao SAR, China",238118,514348
MAF,St. Martin (French part),7580,29376
MAR,Morocco,20019847,31596855
MCO,Monaco,26745,35853
MDA,Moldova,3396000,3570108
MDG,Madagascar,8716553,19996469
MDV,Maldives,158385,345054
MEA,Middle East & North Africa,185843847,371999662
MEX,Mexico,69360871,113661809
MHL,Marshall Islands,30576,52218
MIC,Middle income,3205183598,5004104587
MKD,"Macedonia, FYR",1924197,2067378
MLI,Mali,7090126,14138216
MLT,Malta,316645,409379
MMR,Myanmar,33369712,49479752
MNA,Middle East & North Africa (excluding high income),167755859,323531149
MNE,Montenegro,572608,616969
MNG,Mongolia,1689622,2628131
MNP,Northern Mariana Islands,16920,57431
MOZ,Mozambique,11848331,22846758
MRT,Mauritania,1534085,3407541
MUS,Mauritius,966039,1244121
MWI,Malawi,6163080,14271234
MYS,Malaysia,13798125,27111069
NAC,North America,251872670,337405012
NAM,Namibia,1012672,2106375
NCL,New Caledonia,140050,242750
NER,Niger,5988904,15228525
NGA,Nigeria,73460724,150347390
NIC,Nicaragua,3249910,5594506
NLD,Netherlands,14149800,16445593
NOR,Norway,4085620,4768212
NPL,Nepal,14902163,26475859
NRU,Nauru,7488,9947
NZL,New Zealand,3112900,4259800
OED,OECD members,987928331,1225426691
OMN,Oman,1154379,2759014
OSS,Other small states,13628831,24955735
PAK,Pakistan,78068144,163644603
PAN,Panama,1978578,3516268
PER,Peru,17359120,28641980
PHL,Philippines,47396968,90751864
PLW,Palau,12194,20228
PNG,Papua New Guinea,3304473,6787187
POL,Poland,35574150,38125759
PRE,Pre-demographic dividend,319174900,697549138
PRI,Puerto Rico,3206000,3760866
PRK,"Korea, Dem. People’s Rep.",17472140,24335146
PRT,Portugal,9766312,10558177
PRY,Paraguay,3180630,6047117
PSE,West Bank and Gaza,,3596688
PSS,Pacific island small states,1420671,2155339
PST,Post-demographic dividend,910110515,1064603304
PYF,French Polynesia,151708,263179
QAT,Qatar,223775,1389342
ROU,Romania,22242653,20537875
RUS,Russian Federation,139010000,142742350
RWA,Rwanda,5140716,9708169
SAS,South Asia,900076467,1584359049
SAU,Saudi Arabia,9740599,25940770
SDN,Sudan,14507468,32955496
SEN,Senegal,5592646,12203957
SGP,Singapore,2413945,4839396
SLB,Solomon Islands,230607,504477
SLE,Sierra Leone,3365441,6165372
SLV,El Salvador,4580704,6110301
SMR,San Marino,21361,30351
SOM,Somalia,6359126,11369276
SRB,Serbia,,7350222
SSA,Sub-Saharan Africa (excluding high income),385822020,830878600
SSD,South Sudan,4705224,9263136
SSF,Sub-Saharan Africa,385885281,830965556
SST,Small states,20547258,34006389
STP,Sao Tome and Principe,94949,166913
SUR,Suriname,362777,515148
SVK,Slovak Republic,4979815,5379233
SVN,Slovenia,1901315,2021316
SWE,Sweden,8310531,9219637
SWZ,Swaziland,603372,1158897
SXM,Sint Maarten (Dutch part),,33964
SYC,Seychelles,63261,86956
SYR,Syrian Arab Republic,8930774,20325443
TCA,Turks and Caicos Islands,7519,29481
TCD,Chad,4512042,11133861
TEA,East Asia & Pacific (IDA & IBRD countries),1342000587,1913991988
TEC,Europe & Central Asia (IDA & IBRD countries),390068206,437864853
TGO,Togo,2720839,6161796
THA,Thailand,47385323,66545760
TJK,Tajikistan,3905413,7309728
TKM,Turkmenistan,2876808,4935762
TLA,Latin America & the Caribbean (IDA & IBRD countries),349689363,565956228
TLS,Timor-Leste,587563,1078110
TMN,Middle East & North Africa (IDA & IBRD countries),167755859,319934461
TON,Tonga,93007,103005
TSA,South Asia (IDA & IBRD),900076467,1584359049
TSS,Sub-Saharan Africa (IDA & IBRD countries),385885281,830965556
TTO,Trinidad and Tobago,1085308,1315372
TUN,Tunisia,6368167,10407336
TUR,Turkey,43975921,70440032
TUV,Tuvalu,8052,10340
TZA,Tanzania,18683157,43270144
UGA,Uganda,12549540,31663896
UKR,Ukraine,49968812,46258200
UMC,Upper middle income,1715481307,2404283410
URY,Uruguay,2915778,3350824
USA,United States,227225000,304093966
UZB,Uzbekistan,15939744,27302800
VCT,St. Vincent and the Grenadines,100505,109165
VEN,"Venezuela, RB",15343916,28141701
VGB,British Virgin Islands,11002,25604
VIR,Virgin Islands (U.S.),99636,108399
VNM,Vietnam,54372514,86707801
VUT,Vanuatu,115632,225340
WLD,World,4439337768,6766296679
WSM,Samoa,155557,183526
XKX,Kosovo,1521000,1747383
YEM,"Yemen, Rep.",8120497,22356391
ZAF,South Africa,29760471,50412129
ZMB,Zambia,5889230,13082517
ZWE,Zimbabwe,7164172,13558469
